PartSetID,TensilePartSetID_Extern,TensileTestID_Intern,BuildOrientationAngle,LayerThickness,LayerThicknessUnit,NameOfProcessParameter,HTatEMI,TemperatureControlParameterValue,TemperatureUnitSymbol,Ym_value,Ym_unit,Rp02_value,Rp02_unit,R_UTS_value,R_UTS_unit,A_value,A_unit,HeatTreatment_ID,Surface
MEF-2 17-03-01 90°,MEF-2 17-03-01 90°,AHH3_RTzl709,90,9.0E-2,mm,______Standard_160324_only_up,false,20,°C,64438.3461782,MPa ,144.947204,MPa ,245.835566,MPa ,10.3559720652,%,T5,polished
MEF-2 17-03-01 90°,MEF-2 17-03-01 90°,AHH4_RTzl707,90,9.0E-2,mm,______Standard_160324_only_up,false,20,°C,71352.89156,MPa ,244.143226,MPa ,296.783375,MPa ,8.354070547,%,T6,polished
MEF-2 17-03-01 90°,MEF-2 17-03-01 90°,AHH4_RTzl708,90,9.0E-2,mm,______Standard_160324_only_up,false,20,°C,72800.4471,MPa ,241.675312,MPa ,296.559455,MPa ,9.812186272,%,T6,polished
MEF-2 17-03-01 90°,MEF-2 17-03-01 90°,AHH4_RTzl709,90,9.0E-2,mm,______Standard_160324_only_up,false,20,°C,70484.24684,MPa ,223.656792,MPa ,280.022983,MPa ,8.041127009,%,T6,polished
Extra - Nicht abdrehen!,Extra - Nicht abdrehen!,AHH3_RTzl710,45,9.0E-2,mm,______Standard_160324_only_up,false,20,°C,66407.7905872,MPa ,121.69022,MPa ,237.784903,MPa ,5.95831071584,%,T5,raw
Extra - Nicht abdrehen!,Extra - Nicht abdrehen!,AHH3_RTzl711,45,9.0E-2,mm,______Standard_160324_only_up,false,20,°C,67347.4099489,MPa ,133.015984,MPa ,244.190454,MPa ,5.19139027883,%,T5,raw
Extra - Nicht abdrehen!,Extra - Nicht abdrehen!,AHH3_RTzl712,45,9.0E-2,mm,______Standard_160324_only_up,false,20,°C,65797.5570804,MPa ,133.323076,MPa ,246.015567,MPa ,6.68076449715,%,T5,raw
Statisch 0° - Static_8 - Nr. 1,Statisch 0° - Static_8 - Nr. 1,AHH1_RTzl701,0,9.0E-2,mm,______Standard_160324_only_up,false,20,°C,73734.0442677,MPa ,242.93013,MPa ,343.881348,MPa ,1.96952691222,%,none,polished
Statisch 0° - Static_8 - Nr. 1,Statisch 0° - Static_8 - Nr. 1,AHH1_RTzl702,0,9.0E-2,mm,______Standard_160324_only_up,false,20,°C,74205.159826,MPa ,241.442611,MPa ,350.877936,MPa ,2.42186351825,%,none,polished
Statisch 0° - Static_8 - Nr. 1,Statisch 0° - Static_8 - Nr. 1,AHH1_RTzl703,0,9.0E-2,mm,______Standard_160324_only_up,false,20,°C,73956.3408955,MPa ,253.614985,MPa ,368.066561,MPa ,2.63934817523,%,none,polished
Statisch 45° - Static_8 - Nr. 1,Statisch 45° - Static_8 - Nr. 1,AHH1_RTzl707,45,9.0E-2,mm,______Standard_160324_only_up,false,20,°C,79449.9881704,MPa ,247.485691,MPa ,365.387897,MPa ,2.30302279748,%,none,polished
Statisch 45° - Static_8 - Nr. 1,Statisch 45° - Static_8 - Nr. 1,AHH1_RTzl708,45,9.0E-2,mm,______Standard_160324_only_up,false,20,°C,76486.5655658,MPa ,246.12958,MPa ,361.135315,MPa ,2.14334532247,%,none,polished
Statisch 45° - Static_8 - Nr. 1,Statisch 45° - Static_8 - Nr. 1,AHH1_RTzl709,45,9.0E-2,mm,______Standard_160324_only_up,false,20,°C,78924.8164621,MPa ,253.534861,MPa ,366.323469,MPa ,2.03277808066,%,none,polished
Statisch 90° - Static_8 - Nr. 1 ,Statisch 90° - Static_8 - Nr. 1 ,AHH1_RTzl716,90,9.0E-2,mm,______Standard_160324_only_up,false,20,°C,77917.4497315,MPa ,251.805072,MPa ,394.49296,MPa ,2.48192707704,%,none,polished
Statisch 90° - Static_8 - Nr. 1 ,Statisch 90° - Static_8 - Nr. 1 ,AHH1_RTzl717,90,9.0E-2,mm,______Standard_160324_only_up,false,20,°C,79832.6442428,MPa ,249.941654,MPa ,373.909071,MPa ,1.86136934836,%,none,polished
Statisch 90° - Static_8 - Nr. 1 ,Statisch 90° - Static_8 - Nr. 1 ,AHH1_RTzl718,90,9.0E-2,mm,______Standard_160324_only_up,false,20,°C,77764.3124746,MPa ,264.809973,MPa ,380.872031,MPa ,1.72404120335,%,none,polished
Statisch 45° nicht abdrehen - Static_15 - Nr. 1,Statisch 45° nicht abdrehen - Static_15 - Nr. 1,AHH1_RTzl710,45,9.0E-2,mm,______Standard_160324_only_up,false,20,°C,76656.4361922,MPa ,266.505033,MPa ,383.740408,MPa ,2.17690223279,%,none,raw
Statisch 45° nicht abdrehen - Static_15 - Nr. 1,Statisch 45° nicht abdrehen - Static_15 - Nr. 1,AHH1_RTzl711,45,9.0E-2,mm,______Standard_160324_only_up,false,20,°C,75852.9998552,MPa ,256.972011,MPa ,371.794076,MPa ,2.10005476948,%,none,raw
Statisch 45° nicht abdrehen - Static_15 - Nr. 1,Statisch 45° nicht abdrehen - Static_15 - Nr. 1,AHH1_RTzl712,45,9.0E-2,mm,______Standard_160324_only_up,false,20,°C,78967.4112664,MPa ,264.973081,MPa ,381.972997,MPa ,2.15989033943,%,none,raw
Statisch 45° - Static_15 - Nr. 1,Statisch 45° - Static_15 - Nr. 1,AHH1_15zl713,45,9.0E-2,mm,______Standard_160324_only_up,false,150,°C,73182.556069,MPa ,211.200591,MPa ,258.513668,MPa ,6.84347023682,%,none,raw
Statisch 45° - Static_15 - Nr. 1,Statisch 45° - Static_15 - Nr. 1,AHH1_25zl714,45,9.0E-2,mm,______Standard_160324_only_up,false,250,°C,55968.7695961,MPa ,127.130628,MPa ,140.000572,MPa ,12.4286030824,%,none,raw
Statisch 45° - Static_15 - Nr. 1,Statisch 45° - Static_15 - Nr. 1,AHH1_28zl715,45,9.0E-2,mm,______Standard_160324_only_up,false,280,°C,46660.3992546,MPa ,100.952912,MPa ,104.817477,MPa ,14.6168224184,%,none,raw
Statisch 45° nicht abdrehen - Static_8 - Nr. 1,Statisch 45° nicht abdrehen - Static_8 - Nr. 1,AHH1_RTzl704,45,9.0E-2,mm,______Standard_160324_only_up,false,20,°C,78054.3182734,MPa ,235.642429,MPa ,296.558615,MPa ,0.98366123228,%,none,raw
Statisch 45° nicht abdrehen - Static_8 - Nr. 1,Statisch 45° nicht abdrehen - Static_8 - Nr. 1,AHH1_RTzl705,45,9.0E-2,mm,______Standard_160324_only_up,false,20,°C,71985.6274476,MPa ,231.755521,MPa ,297.942477,MPa ,1.09720838363,%,none,raw
Statisch 45° nicht abdrehen - Static_8 - Nr. 1,Statisch 45° nicht abdrehen - Static_8 - Nr. 1,AHH1_RTzl706,45,9.0E-2,mm,______Standard_160324_only_up,false,20,°C,78865.632647,MPa ,231.572704,MPa ,286.856264,MPa ,0.917472157628,%,none,raw
