BWMD_00036_1,BWMD_00337_38,BWMD_00339_42,BWMD_00323_78,BWMD_00314_114,BWMD_00313_154
http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#TechnologicalProduct__1_a1a30a56-7aad-4dc1-9f73-2f7030077f3c,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ThreeDimensionalXRayComputerTomography__1_a1a30a56-7aad-4dc1-9f73-2f7030077f3c,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ProcessParameterSet__1_a1a30a56-7aad-4dc1-9f73-2f7030077f3c,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#PowerXRayTube__1_a1a30a56-7aad-4dc1-9f73-2f7030077f3c,58,W
http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#TechnologicalProduct__1_a1a30a56-7aad-4dc1-9f73-2f7030077f3c,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ThreeDimensionalXRayComputerTomography__1_a1a30a56-7aad-4dc1-9f73-2f7030077f3c,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ProcessParameterSet__1_a1a30a56-7aad-4dc1-9f73-2f7030077f3c,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#VoxelEdgeLength__1_a1a30a56-7aad-4dc1-9f73-2f7030077f3c,44.56,µm
http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#TechnologicalProduct__1_2955ffbe-e641-40ad-9a7c-add633996e4e,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ThreeDimensionalXRayComputerTomography__1_2955ffbe-e641-40ad-9a7c-add633996e4e,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ProcessParameterSet__1_2955ffbe-e641-40ad-9a7c-add633996e4e,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#PowerXRayTube__1_2955ffbe-e641-40ad-9a7c-add633996e4e,58,W
http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#TechnologicalProduct__1_2955ffbe-e641-40ad-9a7c-add633996e4e,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ThreeDimensionalXRayComputerTomography__1_2955ffbe-e641-40ad-9a7c-add633996e4e,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ProcessParameterSet__1_2955ffbe-e641-40ad-9a7c-add633996e4e,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#VoxelEdgeLength__1_2955ffbe-e641-40ad-9a7c-add633996e4e,44.56,µm
http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#TechnologicalProduct__1_c7d4ddce-1ad5-432f-a2e8-639e64d13cb0,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ThreeDimensionalXRayComputerTomography__1_c7d4ddce-1ad5-432f-a2e8-639e64d13cb0,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ProcessParameterSet__1_c7d4ddce-1ad5-432f-a2e8-639e64d13cb0,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#PowerXRayTube__1_c7d4ddce-1ad5-432f-a2e8-639e64d13cb0,57,W
http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#TechnologicalProduct__1_c7d4ddce-1ad5-432f-a2e8-639e64d13cb0,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ThreeDimensionalXRayComputerTomography__1_c7d4ddce-1ad5-432f-a2e8-639e64d13cb0,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ProcessParameterSet__1_c7d4ddce-1ad5-432f-a2e8-639e64d13cb0,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#VoxelEdgeLength__1_c7d4ddce-1ad5-432f-a2e8-639e64d13cb0,44.56,µm
https://www.emi.fraunhofer.de/ontologies/LPBFO#Separated+Part_4602a36d-f4a0-4213-95c6-36c54e739cd6_4,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ThreeDimensionalXRayComputerTomography__1_c7d4ddce-1ad5-432f-a2e8-639e64d13cb0,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ProcessParameterSet__1_c7d4ddce-1ad5-432f-a2e8-639e64d13cb0,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#PowerXRayTube__1_c7d4ddce-1ad5-432f-a2e8-639e64d13cb0,57,W
https://www.emi.fraunhofer.de/ontologies/LPBFO#Separated+Part_4602a36d-f4a0-4213-95c6-36c54e739cd6_4,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ThreeDimensionalXRayComputerTomography__1_c7d4ddce-1ad5-432f-a2e8-639e64d13cb0,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ProcessParameterSet__1_c7d4ddce-1ad5-432f-a2e8-639e64d13cb0,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#VoxelEdgeLength__1_c7d4ddce-1ad5-432f-a2e8-639e64d13cb0,44.56,µm
http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#TechnologicalProduct__1_f065f9fc-6cf9-432e-85e2-62e5df543a8d,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ThreeDimensionalXRayComputerTomography__1_f065f9fc-6cf9-432e-85e2-62e5df543a8d,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ProcessParameterSet__1_f065f9fc-6cf9-432e-85e2-62e5df543a8d,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#PowerXRayTube__1_f065f9fc-6cf9-432e-85e2-62e5df543a8d,57,W
http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#TechnologicalProduct__1_f065f9fc-6cf9-432e-85e2-62e5df543a8d,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ThreeDimensionalXRayComputerTomography__1_f065f9fc-6cf9-432e-85e2-62e5df543a8d,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ProcessParameterSet__1_f065f9fc-6cf9-432e-85e2-62e5df543a8d,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#VoxelEdgeLength__1_f065f9fc-6cf9-432e-85e2-62e5df543a8d,44.56,µm
