PartSetID,TensilePartSetID_Extern,TensileTestID_Intern,BuildOrientationAngle,LayerThickness,LayerThicknessUnit,NameOfProcessParameter,HTatEMI,TemperatureControlParameterValue,TemperatureUnitSymbol,Ym_value,Ym_unit,Rp02_value,Rp02_unit,R_UTS_value,R_UTS_unit,A_value,A_unit,HeatTreatment_ID,Surface,CO2value_LPBF,CO2value_PartSet,CO2value_PL,CO2value_HT,CO2value_Sep,CO2value_waste,CO2value
Statisch 90° - Static_8 - Nr. 1 ,Statisch 90° - Static_8 - Nr. 1 ,AHH1_RTzl718,90,9,mm,______Standard_160324_only_up,FALSCH,20,°C,7.77643E+15,MPa ,264809973,MPa ,380872031,MPa ,1.72404E+11,%,none,polished,2473,141,0,0,3,44,2.661E+16
MEF-2 17-03-01 90°,MEF-2 17-03-01 90°,AHH3_RTzl707,90,9,mm,______Standard_160324_only_up,FALSCH,20,°C,6.95408E+11,MPa ,144747203,MPa ,245491823,MPa ,1.09003E+16,%,T5,polished,2473,141,0,462,3,44,3.123E+16
MEF-2 17-03-01 90°,MEF-2 17-03-01 90°,AHH3_RTzl708,90,9,mm,______Standard_160324_only_up,FALSCH,20,°C,6.86697E+15,MPa ,142937419,MPa ,2.45953E+16,MPa ,1.03905E+11,%,T5,polished,2473,141,0,462,3,44,3.123E+16
MEF-2 17-03-01 90°,MEF-2 17-03-01 90°,AHH3_RTzl709,90,9,mm,______Standard_160324_only_up,FALSCH,20,°C,6.44383E+16,MPa ,144947204,MPa ,2.45836E+16,MPa ,1.0356E+11,%,T5,polished,2473,141,0,462,3,44,3.123E+16
MEF-2 17-03-01 90°,MEF-2 17-03-01 90°,AHH4_RTzl707,90,9,mm,______Standard_160324_only_up,FALSCH,20,°C,7135289156,MPa ,2.44143E+16,MPa ,296783375,MPa ,8.35407E+15,%,T6,polished,2473,141,0,6406,3,44,9067
MEF-2 17-03-01 90°,MEF-2 17-03-01 90°,AHH4_RTzl708,90,9,mm,______Standard_160324_only_up,FALSCH,20,°C,728004471,MPa ,2.41675E+16,MPa ,2.96559E+16,MPa ,9812186272,%,T6,polished,2473,141,0,6406,3,44,9067
MEF-2 17-03-01 90°,MEF-2 17-03-01 90°,AHH4_RTzl709,90,9,mm,______Standard_160324_only_up,FALSCH,20,°C,7.04842E+15,MPa ,223656792,MPa ,280022983,MPa ,8041127009,%,T6,polished,2473,141,0,6406,3,44,9067
Z 90°,Z 90°,AHH5_RTzl710,90,3,mm,_Split,FALSCH,20,°C,7.34711E+15,MPa ,262132323,MPa ,4.43445E+16,MPa ,4.56127E+11,%,none,polished,2473,141,0,0,3,44,2.661E+16
Z 90°,Z 90°,AHH5_RTzl711,90,3,mm,_Split,FALSCH,20,°C,7.38875E+11,MPa ,260377423,MPa ,442388825,MPa ,4.73283E+15,%,none,polished,2473,141,0,0,3,44,2.661E+16
Z 90°,Z 90°,AHH5_RTzl712,90,3,mm,_Split,FALSCH,20,°C,7.39514E+15,MPa ,266376891,MPa ,448449182,MPa ,4.57027E+15,%,none,polished,2473,141,0,0,3,44,2.661E+16
