Idx,PartSetID,TensilePartSetID_Extern,TensileTestID_Intern,BuildOrientationAngle,LayerThickness,LayerThicknessUnit,NameOfProcessParameter,HTatEMI,TemperatureControlParameterValue,TemperatureUnitSymbol,Ym_value,Ym_unit,Rp02_value,Rp02_unit,R_UTS_value,R_UTS_unit,A_value,A_unit,HeatTreatment_ID,Surface,CO2value_LPBF,CO2value_PartSet,CO2value_PL,CO2value_HT,CO2value_Sep,CO2value_waste,CO2value
49,Statisch 45° nicht abdrehen - Static_8 - Nr. 1,Statisch 45° nicht abdrehen - Static_8 - Nr. 1,AHH1_RTzl705,45,0.09,mm,______Standard_160324_only_up,False,20,°C,71985.62744760001,MPa ,231.755521,MPa ,297.942477,MPa ,1.09720838363,%,none,raw,10.0,1.42,0.0,0.0,0.03,0.0,11.45
50,Statisch 45° nicht abdrehen - Static_8 - Nr. 1,Statisch 45° nicht abdrehen - Static_8 - Nr. 1,AHH1_RTzl706,45,0.09,mm,______Standard_160324_only_up,False,20,°C,78865.632647,MPa ,231.57270400000002,MPa ,286.856264,MPa ,0.9174721576279999,%,none,raw,10.0,1.42,0.0,0.0,0.03,0.0,11.45
51,Statisch 45° nicht abdrehen - Static_15 - Nr. 1,Statisch 45° nicht abdrehen - Static_15 - Nr. 1,AHH1_RTzl710,45,0.09,mm,______Standard_160324_only_up,False,20,°C,76656.4361922,MPa ,266.505033,MPa ,383.740408,MPa ,2.1769022327900003,%,none,raw,10.0,1.42,0.0,0.0,0.03,0.0,11.45
52,Statisch 45° nicht abdrehen - Static_15 - Nr. 1,Statisch 45° nicht abdrehen - Static_15 - Nr. 1,AHH1_RTzl711,45,0.09,mm,______Standard_160324_only_up,False,20,°C,75852.99985519999,MPa ,256.972011,MPa ,371.79407599999996,MPa ,2.10005476948,%,none,raw,10.0,1.42,0.0,0.0,0.03,0.0,11.45
53,Statisch 45° nicht abdrehen - Static_15 - Nr. 1,Statisch 45° nicht abdrehen - Static_15 - Nr. 1,AHH1_RTzl712,45,0.09,mm,______Standard_160324_only_up,False,20,°C,78967.4112664,MPa ,264.973081,MPa ,381.972997,MPa ,2.15989033943,%,none,raw,10.0,1.42,0.0,0.0,0.03,0.0,11.45
54,Extra - Nicht abdrehen!,Extra - Nicht abdrehen!,AHH3_RTzl710,45,0.09,mm,______Standard_160324_only_up,False,20,°C,66407.7905872,MPa ,121.69022,MPa ,237.78490299999999,MPa ,5.95831071584,%,T5,raw,10.0,1.42,0.0,4.62,0.03,0.0,16.07
55,Extra - Nicht abdrehen!,Extra - Nicht abdrehen!,AHH3_RTzl711,45,0.09,mm,______Standard_160324_only_up,False,20,°C,67347.4099489,MPa ,133.015984,MPa ,244.19045400000002,MPa ,5.19139027883,%,T5,raw,10.0,1.42,0.0,4.62,0.03,0.0,16.07
56,Extra - Nicht abdrehen!,Extra - Nicht abdrehen!,AHH3_RTzl712,45,0.09,mm,______Standard_160324_only_up,False,20,°C,65797.5570804,MPa ,133.32307600000001,MPa ,246.015567,MPa ,6.68076449715,%,T5,raw,10.0,1.42,0.0,4.62,0.03,0.0,16.07
57,XY 45° Oberfläche,XY 45° Oberfläche,AHH5_RTzl707,45,0.03,mm,_Split,False,20,°C,74173.04046589999,MPa ,252.29232799999997,MPa ,369.605103,MPa ,2.57850191442,%,none,raw,10.0,1.42,0.0,0.0,0.03,0.0,11.45
58,XY 45° Oberfläche,XY 45° Oberfläche,AHH5_RTzl708,45,0.03,mm,_Split,False,20,°C,70727.10178099999,MPa ,243.597096,MPa ,362.980376,MPa ,2.63452665442,%,none,raw,10.0,1.42,0.0,0.0,0.03,0.0,11.45
59,XY 45° Oberfläche,XY 45° Oberfläche,AHH5_RTzl709,45,0.03,mm,_Split,False,20,°C,70770.4982808,MPa ,252.19461099999998,MPa ,364.675503,MPa ,2.29621134393,%,none,raw,10.0,1.42,0.0,0.0,0.03,0.0,11.45
60,XY 45° Oberfläche 2h 300 °C,XY 45° Oberfläche 2h 300 °C,AHH6_RTzl707,45,0.03,mm,_Split,True,20,°C,69138.4203428,MPa ,156.72063799999998,MPa ,258.036188,MPa ,11.5883093722,%,T5,raw,10.0,1.42,0.0,4.62,0.03,0.0,16.07
61,XY 45° Oberfläche 2h 300 °C,XY 45° Oberfläche 2h 300 °C,AHH6_RTzl708,45,0.03,mm,_Split,True,20,°C,68394.1416908,MPa ,155.498178,MPa ,258.109985,MPa ,11.5915445046,%,T5,raw,10.0,1.42,0.0,4.62,0.03,0.0,16.07
62,XY 45° Oberfläche 2h 300 °C,XY 45° Oberfläche 2h 300 °C,AHH6_RTzl709,45,0.03,mm,_Split,True,20,°C,70928.1928795,MPa ,159.82941599999998,MPa ,263.02198599999997,MPa ,9.52974104087,%,T5,raw,10.0,1.42,0.0,4.62,0.03,0.0,16.07
